學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定
115,國立臺灣師範大學,00231,健康促進與衛生教育學系【外加】,True,1,0.0,,,,,均標,均標,均標,,,均標,
115,國立臺灣師範大學,00232,營養科學學士學位學程,False,7,7.0,7.0,6.0,,,均標,均標,均標,,,均標,
115,國立臺灣師範大學,00232,營養科學學士學位學程【外加】,True,1,0.0,,,,,均標,均標,均標,,,均標,
115,國立臺灣師範大學,00233,生命科學系,False,9,9.0,1.0,5.0,8.0,18.0,,前標,前標,,,前標,
115,國立臺灣師範大學,00234,設計學系視覺設計組,False,2,1.0,1.0,1.0,,,均標,均標,,,,,
115,國立臺灣師範大學,00235,美術學系繪畫組,False,2,2.0,2.0,1.0,,,前標,前標,,,,,
115,國立臺灣師範大學,00236,美術學系水墨畫組,False,2,2.0,2.0,1.0,,,前標,前標,,,,,
115,國立臺灣師範大學,00237,體育與運動科學系,False,3,3.0,3.0,1.0,,,後標,後標,,,後標,後標,
115,國立中興大學,00301,中國文學系,False,4,4.0,4.0,12.0,,,前標,均標,,,均標,,
115,國立中興大學,00301,中國文學系【外加】,True,2,1.0,1.0,14.0,,,前標,均標,,,均標,,
115,國立中興大學,00302,外國語文學系,False,13,13.0,13.0,9.0,,,均標,前標,,,均標,,
115,國立中興大學,00302,外國語文學系【外加】,True,2,1.0,1.0,24.0,,,均標,前標,,,均標,,
115,國立中興大學,00303,歷史學系,False,10,10.0,1.0,2.0,9.0,12.0,前標,,,,前標,,
115,國立中興大學,00303,歷史學系【外加】,True,2,0.0,,,,,前標,,,,前標,,
115,國立中興大學,00304,台灣人文創新學士學位學程,False,3,3.0,3.0,5.0,,,前標,均標,,,均標,,
115,國立中興大學,00304,台灣人文創新學士學位學程【外加】,True,1,0.0,,,,,前標,均標,,,均標,,
115,國立中興大學,00305,財務金融學系,False,10,10.0,9.0,23.0,1.0,3.0,均標,前標,前標,,,,
115,國立中興大學,00305,財務金融學系【外加】,True,2,0.0,,,,,均標,前標,前標,,,,
115,國立中興大學,00306,企業管理學系,False,16,16.0,16.0,22.0,,,均標,前標,均標,前標,,,
115,國立中興大學,00306,企業管理學系【外加】,True,2,0.0,,,,,均標,前標,均標,前標,,,
115,國立中興大學,00307,會計學系,False,10,10.0,10.0,16.0,,,均標,前標,均標,,,,
115,國立中興大學,00307,會計學系【外加】,True,2,0.0,,,,,均標,前標,均標,,,,
115,國立中興大學,00308,行銷學系,False,7,7.0,2.0,15.0,5.0,10.0,前標,前標,均標,前標,,,B級
115,國立中興大學,00308,行銷學系【外加】,True,2,0.0,,,,,前標,前標,均標,前標,,,B級
115,國立中興大學,00309,應用經濟學系,False,10,10.0,10.0,9.0,,,均標,均標,均標,,,,B級
115,國立中興大學,00309,應用經濟學系【外加】,True,2,0.0,,,,,均標,均標,均標,,,,
115,國立中興大學,00310,法律學系,False,6,6.0,6.0,2.0,,,前標,均標,,均標,前標,,
115,國立中興大學,00310,法律學系【外加】,True,1,1.0,1.0,21.0,,,前標,均標,,均標,前標,,
115,國立中興大學,00311,資訊管理學系,False,1,1.0,1.0,3.0,,,均標,前標,前標,,,均標,
115,國立中興大學,00311,資訊管理學系【外加】,True,1,0.0,,,,,均標,前標,前標,,,均標,
115,國立中興大學,00312,化學系,False,8,8.0,1.0,20.0,7.0,11.0,前標,前標,前標,,,前標,
115,國立中興大學,00312,化學系【外加】,True,2,0.0,,,,,前標,前標,前標,,,前標,
115,國立中興大學,00313,物理學系一般物理組,False,4,4.0,4.0,6.0,,,,均標,前標,,,前標,
115,國立中興大學,00313,物理學系一般物理組【外加】,True,1,0.0,,,,,,均標,前標,,,前標,
115,國立中興大學,00314,物理學系光電物理組,False,3,3.0,3.0,8.0,,,,均標,前標,,,前標,
115,國立中興大學,00314,物理學系光電物理組【外加】,True,1,0.0,,,,,,均標,前標,,,前標,
115,國立中興大學,00315,應用數學系應用數學組,False,4,4.0,2.0,21.0,2.0,16.0,均標,均標,前標,,,前標,
