學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立臺灣大學,00141,資訊工程學系,False,11,11.0,11.0,1.0,,,前標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測數A', 'r1': '15', 'r2': None}, {'name': '學測自然', 'r1': '14', 'r2': None}, {'name': '學測英文', 'r1': '14', 'r2': None}, {'name': '在校學業', 'r1': '3%', 'r2': '4%'}]"
113,國立臺灣大學,00142,心理學系,False,10,10.0,3.0,3.0,7.0,4.0,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '3%', 'r2': '4%'}, {'name': '學測數A', 'r1': None, 'r2': '12'}, {'name': '在校學業', 'r1': '4%', 'r2': '8%'}]"
113,國立臺灣大學,00143,經濟學系C組,False,10,10.0,1.0,4.0,9.0,8.0,,前標,頂標,,,前標,,"[{'name': '在校學業', 'r1': '4%', 'r2': '8%'}]"
113,國立臺灣大學,00144,藥學系,False,9,9.0,9.0,1.0,,,均標,均標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測自然', 'r1': '13', 'r2': None}, {'name': '學測數A', 'r1': '13', 'r2': None}, {'name': '學測國英數A自', 'r1': '53', 'r2': None}]"
113,國立臺灣大學,00145,醫學檢驗暨生物技術學系,False,6,6.0,1.0,2.0,5.0,5.0,前標,前標,前標,,,頂標,,"[{'name': '在校學業', 'r1': '2%', 'r2': '5%'}, {'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立臺灣大學,00146,護理學系,False,6,6.0,6.0,3.0,,,前標,均標,均標,,,均標,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}, {'name': '學測英文', 'r1': '11', 'r2': None}, {'name': '在校學業', 'r1': '1%', 'r2': '4%'}]"
113,國立臺灣大學,00147,物理治療學系,False,7,7.0,2.0,1.0,5.0,4.0,前標,頂標,前標,,,頂標,,"[{'name': '在校學業', 'r1': '1%', 'r2': '4%'}, {'name': '學測英文', 'r1': None, 'r2': '15'}, {'name': '在校學業', 'r1': None, 'r2': '4%'}]"
113,國立臺灣大學,00148,職能治療學系,False,2,2.0,,,2.0,4.0,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': None, 'r2': '4%'}]"
113,國立臺灣大學,00149,農藝學系,False,5,3.0,1.0,2.0,2.0,9.0,,前標,前標,,,頂標,,"[{'name': '在校學業', 'r1': '2%', 'r2': '9%'}]"
113,國立臺灣大學,00150,農業化學系,False,4,4.0,1.0,1.0,3.0,4.0,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '1%', 'r2': '4%'}, {'name': '在校學業', 'r1': None, 'r2': '16%'}]"
113,國立臺灣大學,00151,森林環境暨資源學系,False,7,3.0,,,3.0,16.0,,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': None, 'r2': '16%'}]"
113,國立臺灣大學,00151,森林環境暨資源學系【外加】,True,2,0.0,,,,,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': None, 'r2': '18%'}]"
113,國立臺灣大學,00152,動物科學技術學系,False,7,5.0,,,5.0,18.0,前標,前標,均標,,,頂標,,"[{'name': '在校學業', 'r1': None, 'r2': '18%'}]"
113,國立臺灣大學,00153,農業經濟學系,False,8,8.0,8.0,4.0,,,均標,均標,均標,,,,,"[{'name': '在校學業', 'r1': '4%', 'r2': None}]"
113,國立臺灣大學,00153,農業經濟學系【外加】,True,1,1.0,1.0,4.0,,,均標,均標,均標,,,,,"[{'name': '在校學業', 'r1': '4%', 'r2': None}, {'name': '在校學業', 'r1': None, 'r2': '7%'}]"
113,國立臺灣大學,00154,園藝暨景觀學系,False,7,4.0,,,4.0,7.0,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': None, 'r2': '7%'}, {'name': '在校學業', 'r1': '2%', 'r2': None}]"
113,國立臺灣大學,00155,獸醫學系,False,6,6.0,6.0,2.0,,,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '2%', 'r2': None}, {'name': '在校學業', 'r1': None, 'r2': '16%'}]"
113,國立臺灣大學,00156,昆蟲學系,False,3,2.0,,,2.0,16.0,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': None, 'r2': '16%'}]"
113,國立臺灣大學,00157,植物病理與微生物學系,False,4,0.0,,,,,頂標,頂標,頂標,,,頂標,,
