學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立屏東大學,03608,社會發展學系,False,14,14.0,12.0,34.0,2.0,15.0,,,,,均標,,C級,"[{'name': '在校學業', 'r1': '34%', 'r2': '15%'}, {'name': '在校學業', 'r1': '31%', 'r2': None}]"
113,國立屏東大學,03608,社會發展學系【外加】,True,2,1.0,1.0,31.0,,,,,,,均標,,,"[{'name': '在校學業', 'r1': '31%', 'r2': None}]"
113,國立屏東大學,03609,英語學系,False,11,11.0,5.0,32.0,6.0,25.0,,均標,,,,,,"[{'name': '在校學業', 'r1': '32%', 'r2': '25%'}]"
113,國立屏東大學,03609,英語學系【外加】,True,2,0.0,,,,,,均標,,,,,,"[{'name': '在校學業', 'r1': '6%', 'r2': None}]"
113,國立屏東大學,03610,應用英語學系,False,1,1.0,1.0,6.0,,,,均標,,,,,,"[{'name': '在校學業', 'r1': '6%', 'r2': None}]"
113,國立屏東大學,03610,應用英語學系【外加】,True,1,0.0,,,,,均標,均標,,,,,,"[{'name': '在校學業', 'r1': '29%', 'r2': None}]"
113,國立屏東大學,03611,應用日語學系,False,2,2.0,2.0,29.0,,,均標,,,,,,,"[{'name': '在校學業', 'r1': '29%', 'r2': None}]"
113,國立屏東大學,03611,應用日語學系【外加】,True,2,0.0,,,,,均標,,,,,,,
113,國立屏東大學,03612,視覺藝術學系數位媒體設計組,False,8,8.0,4.0,30.0,4.0,21.0,均標,,,,,,,"[{'name': '在校學業', 'r1': '30%', 'r2': '21%'}]"
113,國立屏東大學,03612,視覺藝術學系數位媒體設計組【外加】,True,1,0.0,,,,,均標,,,,,,,"[{'name': '在校學業', 'r1': '22%', 'r2': None}]"
113,國立屏東大學,03613,商業大數據學系,False,10,10.0,10.0,22.0,,,,後標,,,,,,"[{'name': '在校學業', 'r1': '22%', 'r2': None}]"
113,國立屏東大學,03613,商業大數據學系【外加】,True,5,0.0,,,,,,後標,,,,,,
113,國立屏東大學,03614,行銷與流通管理學系,False,2,2.0,2.0,5.0,,,,底標,,,,,,"[{'name': '在校學業', 'r1': '5%', 'r2': None}]"
113,國立屏東大學,03614,行銷與流通管理學系【外加】,True,2,2.0,2.0,38.0,,,後標,底標,,,,,,"[{'name': '在校學業', 'r1': '38%', 'r2': None}, {'name': '在校學業', 'r1': '17%', 'r2': None}]"
113,國立屏東大學,03615,不動產經營學系,False,3,3.0,3.0,17.0,,,後標,,,,後標,,,"[{'name': '在校學業', 'r1': '17%', 'r2': None}]"
113,國立屏東大學,03615,不動產經營學系【外加】,True,4,0.0,,,,,後標,,,,後標,,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立屏東大學,03616,企業管理學系,False,1,1.0,1.0,3.0,,,,後標,,,,,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立屏東大學,03616,企業管理學系【外加】,True,2,1.0,1.0,20.0,,,,後標,,,,,,"[{'name': '在校學業', 'r1': '20%', 'r2': None}]"
113,國立屏東大學,03617,國際經營與貿易學系,False,3,3.0,3.0,9.0,,,,底標,,,,,,"[{'name': '在校學業', 'r1': '9%', 'r2': None}, {'name': '在校學業', 'r1': '21%', 'r2': None}]"
113,國立屏東大學,03617,國際經營與貿易學系【外加】,True,2,1.0,1.0,21.0,,,後標,底標,,,,,,"[{'name': '在校學業', 'r1': '21%', 'r2': None}, {'name': '在校學業', 'r1': '20%', 'r2': None}]"
113,國立屏東大學,03618,應用化學系,False,7,7.0,7.0,20.0,,,後標,,後標,,,均標,,"[{'name': '在校學業', 'r1': '20%', 'r2': None}, {'name': '學測自然', 'r1': '11', 'r2': None}]"
113,國立屏東大學,03618,應用化學系【外加】,True,2,0.0,,,,,後標,,後標,,,均標,,
113,國立屏東大學,03619,應用數學系,False,7,7.0,7.0,39.0,,,,,均標,,,,,"[{'name': '在校學業', 'r1': '39%', 'r2': None}]"
113,國立屏東大學,03619,應用數學系【外加】,True,2,0.0,,,,,,,均標,,,,,"[{'name': '在校學業', 'r1': '16%', 'r2': None}]"
113,國立屏東大學,03620,應用物理系半導體組,False,9,9.0,9.0,16.0,,,,,底標,,,底標,,"[{'name': '在校學業', 'r1': '16%', 'r2': None}]"
113,國立屏東大學,03620,應用物理系半導體組【外加】,True,2,0.0,,,,,,,底標,,,底標,,"[{'name': '在校學業', 'r1': '25%', 'r2': None}]"
113,國立屏東大學,03621,應用物理系光電暨材料組,False,9,9.0,9.0,25.0,,,,,底標,,,後標,,"[{'name': '在校學業', 'r1': '25%', 'r2': None}, {'name': '學測自然', 'r1': '12', 'r2': None}]"
113,國立屏東大學,03621,應用物理系光電暨材料組【外加】,True,2,0.0,,,,,,,底標,,,後標,,
